Tweets,AMG team Labeling ,Label,kkkkk,Dep_num,Non_num,0
أتمنى معجزة كونية تخليني مشغولة عشان شوي و هقوم أنتحر.,1,2,2,,,
انام ولا انتحر,1,2,2,,,
جيتك بقايا حي كل أكثره مات وصلت لك بآخر رمق من حياتي جيتك خوي الخوف في رحلة الذات بين الرجا وظروفي القاسياتِ جيتك من الفرقا كثير التلفات جيت أنتحر في نجلك الناعساتِ - مساعد الرشيدي,2,2,,,,
أبي أنتحر,1,1,,,,
الدوره جتني مرتين مدري ثلاث مرات هالشهر  والحين جالسه احس بألمها ودييييي انتحر قسم بالله لو تجيني بخنق نفسي مسحيل الوضع طبيعي والله لو انه نزيف صدق,2,2,,,,
انا بجد نفسي انتحر بس انا مش جريء كفاية اني اسويها,1,1,,,,
اريد ان انتحر,1,1,,,,
حاسه ودي انتحر,1,1,1,,,
بشكلٍ أو بآخر .. يختبيء بداخل كل منَّا قاتِـلٌ غامض ..  ربما بـ كلمةٍ. '' قد انتحرَ إنسان '' 👌,1,2,2,,,
اخ مش عارفه ليش كل شي خرا بجيني مره وحده سناني زي الخرا مفلوزه وجايتني الدوره واعصابي تعبانه من كلشي  ومش عارفه انتحر احسنلي انا بقول,1,2,2,,,
ودي انتحر قبل الفاينال والعملي وبكرا,1,2,2,,,
ابغا انتحر,1,1,,,,
حسيت بشعور الندم يوم حبيت وفهمت وش معنى الخطأ من سواتي  خطأ وغلطه من عرقها تقهويت ولبست من فوق الندامه عباتي  عانيت بالدنيا كثر ماتمنيت يالربع انا لو أنتحر هو يواتي؟  معذور انا من باقي العمر مليت ومن لامني جعله يجرب حياتي  ليه ثمان شهور اجرّ التناهيت واجر ونات الطنا من سكاتي,1,2,2,,,
احتاج قوه اواجه فيها هالفتره ولا راح انتحر,1,1,,,,
زميل دراسه وجار لي جاتني أخبار انه انتحر اليوم لانه مب قادر يعيش ولا يصرف على بيته 💔.  وجع قلب غير طبيعي 💔🥹 الله يرحمك علي عمرو,1,2,2,,,
ياحبيبي طلعه لا اقسم بالله انتحر يلعنننننن امه  على النرويج ع ريال اللي باعه لنا,2,2,,,,
يارب خلص صبري يالله خلصت طاقتي يارب افرجها من عندك يارب طلعت روحي يارب قربت انتحر يارب ارحمنا برحمتك بنستاهل الرحمة بعد كل هذا,1,1,,,,
ابي طريقه انتحر فيها بدون دم بدون خنق بس كذا فجأه اموت,1,2,2,,,
يوم مفعمة بالحياة ويوم ودي انتحر وكذا ماشيه,1,2,2,,,
فجاه جتني ماما هدفها تخليني انتحر,1,2,2,,,
ليش اصبعي مقطوع ما اتذكر حاولت انتحر,1,2,2,,,
كلنٍ ولة ذوقة يابو عودن دقاق  زينك طبيعي والحلا فيك انغرس  وانا انتحر واموت فالزين الرقاق  من البشر ولا الطفوح ام الجرس,2,2,,,,
بورنموث ٢-٠ 😅  انا لو تشيلساوي انتحر 🏃🏻‍♂️ هذا كفو يفوز علي !   الحين وين بو تريكة اللي يقول المانيو قريب من السيتي بالنقاط والمستوى والوضعية,2,2,,,,
خويي انتحر😢,1,2,2,,,
كل ما احس اني مبسوطه اتذكر نانامي انتحر اخ,2,2,,,,
اكمل اذاكر ولا انتحر؟ الثانيه اسهل ذو,2,2,,,,
لولا الواحد مؤمن بربنا كان زمانه انتحر من كل التراكمات اللي جواه ومضايقته الفكرة موجودة بس الواحد يستنى لما عقله يطير عشان ما يموت كافر.,1,1,,,,
الضمير انتحر,1,2,2,,,
ابغى انتحر صدق !!,1,1,,,,
كم لايك وارجع احاول انتحر؟,1,2,2,,,
ابغى انتحر بس يا رب الله يغفر لي,1,1,,,,
ودي انتحر بس خايفه اموت 🚶‍♀️ ,1,2,2,,,
حلمت حلم خايس ويوم خايس وابغى انتحر,1,2,2,,,
الفيونكات ليش صارت ترند ابغا انتحر,2,2,,,,
انا مخنوق من الدنيا ونفسي انتحر واخلص,1,1,,,,
يا قدس معذرة ومثلي ليس يعتذر مالي يد في ما جرى فالأمر ما أمروا وأنا ضعيف ليس لي أثر عار علي السمع والبصر وأنا بسيف الحرف أنتحر وأنا اللهيب وقادتي المطر فمتى سأستعر ؟ عاش اللهيب ويسقط المطر #احمد_مطر,2,2,,,,
ميتة نعس وطول امس ما نمت وعليّ امتحان. كيف انتحر؟,2,2,,,,
يعني قرار اني انتحر هو الصح طيب ولا ايش اسوي!,1,1,,,,
تبوني ولا انتحر😂😂؟,1,2,2,,,
كلما زاد الظلم على غزة زاد ذل الشعوب والأنظمة... يا ناس... تجرعوا كأس الذل الحنظلي... طمنوني... لذيذ؟ الله يرحمك يا محمد مرسي ويرحمنا معاه نحن كذلك...لولا إيماننا بالآيات القرآنية واستلهام الصبر منها لكان الواحد من زمان انتحر #احمل_السلاح_يامسلم,2,2,,,,
انتحر من أجل الحب !!؟؟ أجل انتحر من أجل الحب هذا فيلم فرنسي شاهدته احد الشخصيات انتحر عشانه حب له وحده ماتبيه. هذا الأمر منتشر عند الغربيين عموماً كيف يرخص الإنسان روحه عشان مشاعر,2,2,,,,
لابسة سلسال ذهب وما نزلته من ايام وخايفه اقطعه وانا راقده اذا قطعته احتمال انتحر فوق غلاة سعره شكله حلو,2,2,,,,
بالله احد يقتلني عشان لا انتحر ويصير لا دنيا ولا اخره,1,2,2,,,
"الله يخرب بيت الشتاء، بنفسي اقوم انتحر",1,2,2,,,
ما افهم الناس اللى ضامنه وجودي  انا ذات نفسى مو ضامنه ممكن اقوم انتحر بعد خمس دقايق,1,1,,,,
صرت اخاف انتحر فيسألني الله يوم القيامه ياعبدي هل يأست من رحمتي؟,1,2,2,,,
يـقـول الشـاعـر:   ان لم تأتي تلك الوسيمة وصاحبه العيون السودا والجميلة فسوف انتحر   ابك جايه جايه بس ادور عبايتي,2,2,,,,
إن كان من نصيحة أقدمها لنتن ياهو فأنصحه بالانتحار كما انتحر هتلر لأن هذه النهاية التي تليق بالقادة النازيين والفاشيين والمغوليين,2,2,,,,
يارب ما تبدأ ٢٠٢٤ وانا فالحالة هذي يارب تحصل معجزة قبلها تغير الاوضاع لان انا احتمال انتحر مع بداية يناير ,1,1,,,,
والله عندى فوبيا من انى ممكن اتزوج واحد زي شكل يديني كذا انا ممكن انتحر,1,2,2,,,
اسمع بس اسمع  @بس اسمع مني حًبُك جنني  يلغايب عني  انا الي بنشر ونت مطنشني  انا شاركتـك  يلا شاركنـي علق بس علق  يالي مطنشني انا بعلقلــــك  ونتا علقلي  مابدك احذفني 🎤😂 والله يصبــرني🎤😂 موناقص اصنام🎤😂 احسن احذفني 🎤. . . ❥ू #الاصنام هلكتوني وصرعتوني بعدو لورا بدي انتحر😂,2,2,,,,
انا كمية تأنيب ضمير بداخلي بجد مخليني ابغى انتحر بجد انا ليه حكيت عنهم ولناس كثير ليه  ليه يارب سامحني 😔مشكلتي صريحه زياده اللي علي قلبي علي لساني وهذا عيبي انا ليه كذا يارب ليه و أي احد يسالني اجاوب عن كل حاجه اعرفها ليه يارب 🙂,1,1,,,,
كل شي اسويه حرام واذا مت متأكد اني بادخل جهنم ومع ذلك ما اقدر انتحر لاي درجة انا ضعيف,1,1,,,,
"""أكتب لئلا أنتحر أكتب لأخلق""  - @ghamgeen776",1,1,,,,
يبو الاحساس انا باقي انتظر حبك صابني بادمان ترضاها انتحر 😵☠️🔪,2,2,,,,
حلقي. بدا. يعورني.  بروح انتحر,1,2,2,,,
لو كنت رسبت واخدت صيفي زيادة كان ممكن انتحر,2,2,,,,
طفش  مللل اكتئاب 🦦,2,2,,,,
احس نفسيتي معدومه واحس بدخل حالة اكتئاب,1,1,,,,
اكتئاب مفاجئ,1,1,,,,
بيجيني اكتئاب من الجامعه مدري كيف بكمل ٦ سنوات فيها,2,2,,,,
رحت البحر عشان اخفف اكتئاب اكتئبت زياده 😵‍💫 #مٌعصيٌتٓيّ_رحّتِيّ,1,1,,,,
كنت أجي لك ود لو كلّي عتاب/ وأبتسم لك زيف لو كلّي كسور ! ٰما تركتك تلمح بوجهي إكتئاب/ كنت أبروّز صورة أحزاني سرور/ ليه أبرحل  ماهي بحاجة جواب/ مارحلت إلا حفاظًا على الشعور/ سامحه أرجوك يـارب السحاب/ حتى لو هو عاث بأحساسي شهور/ ما أخاف أحزان منّه أو عذاب ! خايف إن الوقت باحزانه… https://t.co/Lo2uEq1hoi,1,1,,,,
اذا ماضبطت نومي بيجيني اكتئاب,2,2,,,,
صج 2023 كان 80% منها اكتئاب بس نهايتها نوت باد 🤔,1,2,2,,,
الليفربولي : خسر دوريين بفرق نقطه ونهائيين ابطال واداره سيئه ومشاكل بالنادي ودخل في حاله اكتئاب ويردد لن تسير وحيداً  السيتزاوي : 4 تعثرات  والله ماعاد اشجعكم تفو عليكم☹️🥺,2,2,,,,
قيلت وصحيت الحين  دبل اكسترا اكتئاب 🤙🏻,2,2,,,,
"كل ما اتذكر انّ هلي بيسافرون نهاية الشهر ادخل في دوامة زعل و اكتئاب، بعدها اتذكر شلون الناس في الجانب الآخر قاعدة تعاني و تتشرد و تنقتل و تجوع… أحس بسخافة همومي و اضطر اوقف زعل لانّ عيب ☹️",2,2,,,,
اكتئاب,1,2,2,,,
اغاني ميتسكي مره تهديني وتخليني اعيش في عالم ثاني مدري ليه مقررين انها تجيب اكتئاب راجعو قراراتكم,2,2,,,,
كنت اضحك و أروى قالت لي الي يضحك كثير يعني فيه اكتئاب !!@&amp,2,2,,,,
الواحد معاد يعرف اذا هو في مرحلة إكتئاب ولا إنطفاء ولانضج ولاإنعدام شغف ولاتخلف ولاذي شخصيته 👤.,2,2,,,,
يا غوارديولا كنت تخفف عني اكتئاب برشلونه وراك صرت زيهم,2,2,,,,
ماحد يجيب اكتئاب غير البشر اما اللون الاسود ماشفنا منه شي .,2,2,,,,
اكتئاب حاددد  عبايتي انتظرها من شهر طلعت خااايسه😓😓,1,2,2,,,
كل م تقترب امتحاناتي ادش بحاله اكتئاب🚶🏻‍♂️,2,2,,,,
ما راح يجيني اكتئاب غير من قروبات الشعبه و هم يذاكرون و انا لا,2,2,,,,
ببكي اكره اكتئاب بعد يوم حلو مابيييي💔,2,2,,,,
فيني اكتئاب مهما سويت مارح يروح,1,1,,,,
متلازمة اكتئاب ماقبل الاوسبي,2,2,,,,
اقوى موجة اكتئاب حتى اختي طردتني,1,2,2,,,
صحيت اليوم العامله شارده والبيت قايم قاعد وامي تفتش البيت خايفه يكون سحر مربوط وابوي جالس بالحوش يشرب شاهي واختي اللي امس حالفه تسجل في نادي طالبه ماك وتاكل حتى قطوتي زايد وزنها وحايشها اكتئاب الشتاء,2,2,,,,
والله اني متاكده اني ف اكتئاب. لو مب ١٠٠٪ ٩٠٪,1,1,,,,
بعد قراءتي لدراسة عن المتنبي اكتشفت سبب حزني المفاجئ أن #الشعراء في الغالب يعانون من أكتئاب فسحقا لنا كم يتبعنا الغاوون,2,2,,,,
ليش لما انام زعلانه اصحى ماسكني اكتئاب و جسمي كلو يوجعني,2,2,,,,
الواحد ماعاد يعرف اذا هو في مرحلة اكتئاب ولا انطفاء ولا نضج ولا انعدام الشغف ولا تخلف ولا نفسية ولا هذه هي شخصيته,2,2,,,,
اما الحين احسن الناس تسوي اشياء فيها ابتسامة او تقطيب جبين حسب الدين مثلا الشذوذ ممكن يجيب اكتئاب للمسلمين بينما المسيحيين ما يجيبلهم اكتئاب لكن بعدين بعد ما اتعلم علوم الاشعاع ما راح يأثر على الناس,2,2,,,,
فيني اكتئاب مقدر اذاكر مع ذي النفسيه,2,2,2,,,
الحمدلله قررت اني اخرج من حالة الاكتئاب الي كانت عندي وراح ندخل في حالة اكتئاب جديدة الي يحب يدخل معايا مرحبا فيه 🙂,1,1,,,,
اكتئاب الفاينل is coming,2,2,,,,
موجه اكتئاب قويه هاجمتني,1,1,,,,
دخلت ف اكتئاب لانك رحتي وتركتيني,1,1,,,,
اكتئاب على مزاج صفر ماعندي طاقه اسولف آراضي أعاتب حرفيا طاقتي صفر,1,1,,,,
ياخي الحب الاعمى سببلي اكتئاب تابعته من سنين بس مو من البداية والحين رجعت تابعته من الحلقات الولى ووقفت في الحلقات الاخيرة معاد ابي تكمله خلاص انتهينا لاني اعرف نهايته بس ليش طيب سويتو النهاية كذا ابي افهم,2,2,,,,
اكتئاب ابدي لعدم استحقاقية الحياة والتوصل لحقيقتها الوحيدة وهي كذبة مصورة ومعدة مسبقا ومسارها إلى الفناء .. الفناء الابدي,1,1,,,,
صداع  + لسه ما بدأت شيفت + حرقان  + بلغم مزعج + وحده و اكتئاب + سخونه و رعشة و عارف امشي بالعافيه  الحياه عذي تبي ايش مني.,1,2,2,,,
انا الوحيده الي تعلق الشعر الطويل مع اكتئاب والشعر القصير مع السعاده و الصحه النفسيه؟,1,2,2,,,
اكتئاب و ضيقه مو طبيعيه,1,1,,,,
البنات كانوا يكشخون فالفصل و يشربون شاهي و انا واقفه اناظرهم و افكر انه ذا كله رح يصير ذكريات مارح ارجع اعيش هالحظات  ( ضيق اكتئاب حزن كل شيء ),1,2,2,,,
بسم الله اكتئاب شديد,1,1,,,,
اكتئاب قبل الفاينل اخ مو وقتك😞,2,2,,,,
موجة اكتئاب,1,1,,,,
"قبل ما تدخل فى حياة حد وتخليه يتعلق فيك ، راجع نفسك الاول ، راجع امراضك النفسية ، عندك إكتئاب  بيخليك تختفي؟ علم شريكك ، لا تخليه يضن  إنك  بتتجنبه ومش معاه ، عندك وسواس بيخليك تظن سوء؟ علم شريكك لا تخليه يفكر إنك ماتحبه ومش بتثق فيه ، عندك اضطراب الشخصية الحدية؟",1,2,2,,,
احس جاني اكتئاب مفاجئ,1,2,2,,,
حتي القطه جاها اكتئاب,2,2,,,,
انا والتخدير اكثر علاقة توكسك ممكن تشوفها هو بارد وجاف معاي وكل يوم يخليني ابكي لي ثلاث سنوات احاول افهمه خلال هالسنوات جابلي اكتئاب وامراض نفسية وكل شوي اقول بتركه لكن ارجعله زي الكلب رغم كل هذا احبه ومستعدة افني عمري عشانه شايفين توكسك اكثر من كذا؟اعلن فسخ خطوبتي مع التخدير💍💔,1,2,2,,,
اتمني هذا يكون اخر اكتئاب امتحانات يمر علي,2,2,,,,
الأسابيع اللي راحت مريت بنوبة اكتئاب سيئة جدا و الحمدلله الحين تحسنت و عشان ادلع نفسي و اكافئها على صبرها طلبت لي أغراض من rare beauty و رايحه استلمها الحين و احس بموت من الفرحة 🤩,1,1,,,,
جوري للمره المليون تقول لي ترا سببتيلي اكتئاب من كثر ماتلبسي اسود شلون افهمها ان مالوو دخللل!,2,2,,,,
نايمة ١٣ ساعة يارب انها مو بوادر اكتئاب مره ثانية,1,2,2,,,
"""ويمحيهِ بِذَاكِرَتي الغيابُ فَلا شَوقٌ لَديَّ ولا اكتِئابُ وإنْ مَرَّ فَلَيسَ لَديَّ بَيتٌ وَإنْ دَقَّ فَلَيسَ لَديَّ بابُ""",2,2,,,,
الله يسامح اخوي  المسلسل جاب لي اكتئاب,2,2,,,,
التايم لاين حاجه تحزن و تجيب اكتئاب,2,2,,,,
قالوا : ﺃﻧﺖ ﻣِﻦ ﺧﻮﻑ ﺍﻟﻤﺮﺽ ﻓﻲ ﻣﺮﺽ ومِن خوف الفقر في فقر ومن خوف السحر والعين في هَمٍّ و اكتئاب ومِن توَقع المصيبة في مصيبة أكبر منها أحيانا يأتي مرض القلب من الخوف من مرض القلب...,1,2,2,,,
من كثر الضغط هالفتره راح يصيبني اكتئاب وتوحد 🥲💔,2,2,,,,
