Label,Tweets
2,الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف
1,الاسف  مافي اي حدا بتحمل الانتقاد 
2,الاسلام نعمه كبيره من عند ربنا لا تقدر بكنوز الدنيا كلها
2,الاسلام هو حسن الخلق الا تعرف بان الحبيب صلى الله عليه سلم لقب امينا قبل نزول الوحي
1,الاعتداءات على المعلمين والاطباء ... جرائم لا تقبل اي تبرير
2,الاكل زاكي كثير كثير
1,الانكسار من اسوء الاشياء
2,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين
1,الباقيين سخافه سماجه
1,البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل
1,البرنامج فاشل جدا
2,البسمه سر من اسرار الحياه
1,البقاء في الخيال دمار
1,البنزين يجي من السعوديه باقل الاسعار الحكومه عندنا تدبل سعره
2,البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله
1,التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع
1,التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله
2,التفائل حلو في الحياه بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل
2,التنفس العميق يوفر علاج طبيعي للصداع 
2,الثقه بالله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه
2,"الجمال : ليس فقط شيئا نراه بل هو شيء نكتشفه ، روح جميله ، وفكر جميل ، اخلاق جميله ، وادب جميل"
2,"الجنه تحت اقدام الامهات , اللهم اجعل امهاتنا من نساء الجنه"
1,الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم
2,الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود
2,الحب الحقيقي عمله نادره فعلا وهو نعمه كبيره من الله عزوجل
2,الحب بين الزوجين اوسع ابواب السعاده
2,الحب في الله شيء جميل جدا
1,الحريه غاليه لن تجدها عند متسول اخواني ساذج لايملك منطق ولافكر
1,الحق عالحقير اللي نزل المنشور بجوز اهله لابسين منهم ولك لاتنزل اشي زي هيك يا 
1,الحق مش على لجنه التحكيم الحق على الاغبيه المشتركين
1,الحكم سيئ  
1,الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم
2,الحل الوحيد حب الله ورسوله وطاعتهم
2,الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى
2,الحلال بين و الحرام بين واتقوا الله
2,الحمد الله على الاسلام يا رب اهدي كل من احب هذا الدين وكل من تردد في دخوله وارحمنا جميعا
2,الحمد انا متفائله جدا في كا امور حياتي ورح اضل هيك دائما
2,الحمد لله اصبح على وجهك المشرق كل يوم
2,الحمد لله اكسجين يعيد للصدر انفاسه ف تجدها الصوت السعيد الصوت المتئاكل من البكاء
2,الحمد لله الحمد لله الحمد لله حمدا شاكرا ففضلك ربي
2,الحمد لله الذى لا يُحمد على مكره سواه
2,الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع
2,الحمد لله الذي رزقني بالاسلام
2,الحمد لله الذي نصرنا نصرا مبين
2,الحمد لله رب العالمين على عطاه رضا
2,الحمد لله على نعمه الاسلام وكفى يها نعمه
2,الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء
2,الحمد لله على نعمه العقل و سعه الفهم و نضوج الفكر
2,الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي
2,الحمد لله ما اكرمك يا الله
2,الحمد لله نامل من الله ان يمن علينا بالهدايه
2,الحمدلله الذي هدانا لهذا وما كنا لنهتدي لوﻻ ان هدانا الله . ﻻ اله اﻻ الله محمد رسول الله
2,الحمدلله زادت ثقافتي لكثير من الاشياء وتنوعت المفاهيم لدي
2,الحمدلله على السلامه وماتشوف شر .. طهور وقدامك العافيه ان شاء الله
2,"الحمدلله على كل حال، الفرصه قائمه، والقادم اجمل"
2,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه
2,الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين
1,الحياه مستمره سواء ضحكت ام بكيت
2,الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه بعد الصلاه راحه فائقه اتمنى لكل المسلمين هذا الخشوع
2,الخشوع امر مهم جــدا في الصلاه
2,الخشوع هو المرحله التاليه للتركيز والتركيز ياتى باطاله القراءه والتدبر واطاله الركوع والسجود
2,الدال على الخير كفاعله
2,الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا
1,الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس لها مخاطر على البيئه والانسان ونحن الان نعاني من ضائقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدى حاجه المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد
2,الدين عباره عن اخلاق وحسن التعامل مع الناس وتهذيب النفس قبل ما يكون مجموعه من العبادات !
2,الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه
2,الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع
1,الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان
2,الرائع سيظل رائعا حتى نهايه العمر
2,الروح و المال تفداك يا قلبي
1,الزعل بدايه الطريق للامراض
2,السعي وراء الرزق عباده و جهاد
1,السلام عليكم الحقيقه انا لا اعرف شو وقاحه هاي اللجنه المشترك يعطي ما عنده من مواهب هذا ما عنده وهم يعطون ما عندهمما
1,السهر احد مسببات مرض السكر
1,الشعب الذي اختار نواب خرجين سجون سوابق بستاهل اكثر من هيك مشان 50 دينار الله لا يرد هيك شعب
1,الشو اسمو ستار اكاديمي ولا المسخره عل العالم اكاديمي
2,الصادق ينتظر الفرج ولا يياس من روح الله
1,"الضغوط النفسيه لها تاثير في النهايه ، سمعت قصه عن اشخاص انتحروا بسبب تعليقات ساخره ضدهم."
1,الطاقه الشمسيه هي البديل وليست الطاقه النوويه
1,الظاهر انه جايين يستهبلون عالحكام بس
1,الظاهر اهلها مفقعين وجهها قبل ما تجي ومغطيه الفلعات
1,الظاهر عقلك تافه من اصحاب العقول المقفله
1,العالم العربي مليان عاهات
1,العاهات اللي عندهم ياناس روحو موتو اشرف
1,العجوز هذا والرجال الي بجنبه بله واغبياء وانهم يثبطون الواحد
1,العرب مو بتاع هي الشغلات لاكن نحن فاشلين الله معطينا كل متطلبات التحظر والتطور لاكن نحن لازقين بهلتفاهات ونضن انو هي التحظر
1,العرق كل شوي يزيد
1,العنصريه في الاردن لا تتوقف على كلمه اردني وفلسطيني وانما تتجاوزت ذلك الى تصنيف ابناء الوطن الواحد وفقا للعشيره وهذا اسوء حال وصلنا له
1,الغباء واضح
1,"الغرب فسق وعائلات مفككه والنساء عاهرات،المدارس تعلم الجنس للاطفال يشربون الكحول وياكلون لحم الخنزير ثم يقول: وجدت في الغرب اسلام بلا مسلمين"
1,الغلط مو من المشاركين الغلط من نفس البرنامج المفروض تكون فى مرحله فرز فى البدايه قبل لا يطلعو الهواء
1,الغموض لغه لا يتكلم بها الا من ذاق متاعب الدنيا
2,الف الف مبروك يستاهل والله يوفقكم
2,الف مبروك تخرج ابناء الظفير من الكليه العسكريه الملكيه من الاردن
1,الفاتحه علي ارواح الغلابه
1,الفاشل من يياس ويقف عند اول حاله رسوب
1,الفلاكا تجعل من يتناولها يعتقد انه زومبي واكل لحوم البشر ويبدا بالبحث عن دم ليشربه وظهرت في التسعينات في امريكيا ثم اختفت
1,الفن اصبح هابط هذه الايام
1,القتل نهايه الزوجه اللعوب
2,القدوه الحسنه خير من النصيحه
2,القلب الذي يؤمن بالله  لا يياس ابدا  لانه يسير نحو النور واﻷمل .. والحياه ..
1,الك يوم يا ظالم
2,الكرامه فوق كل شيء
1,الللجنه ما تنطاق
2,اللمه هي احلى اشي بالافراح
2,الله احفظ احبابي اصدقائي من الحسد الكيد الفتنه العين
2,الله اخترت اسم غالى على قلبى قوى ربنا يثبتك على دين الاسلام اخترت صح بجد
1,الله اكبر شو هيدا اكل الرجال
2,الله اكبر ما احلاكم وما اشجعكم
2,الله اكبر ما من دابتن الا على الله رزقه
2,الله اكبر والعزه للسلام
2,الله اكبر ولله الحمد مصر بخير فيها ناس كتير طيبين
2,الله اكرم الاكرمين اللهم اعنا على انفسنا واللهم ارضى عنك يارب العالمين
2,الله الكلام الجميل
2,الله الله الله يحفظك يا مملكه الانسانيه لم تقتصر مساعده السوريين في الاردن علي المعونات الغذاييه او الطبيه بل حتي شنط مدارس الاطفال بكل شي
2,الله الله على اخلاق الصحابه اصحاب رسول الله
2,الله الله عليك يا استاذ عمر بارك الله لك بارك عليك جزاك الله عنا خيرا كثير
2,الله المستعان على كل ظالم فليس باليد حيله غير ان نقول لا حول ولا قوه الا بالله
2,الله ايه الجمال ده سبحانك ربي
1,الله حيك شيخ ابراهيم بالفعل حكم يا نشمي
2,الله حيهم هالشباب انتوا القدوه
2,الله خيرا من الدنيا وماء فيها و ما عليها السلام عليكم ورحمه الله تعالى وبركاته اخواني واخواتي
1,الله على الظالمين
2,الله على الكلام يا رب اعينا
2,الله على دينا العظيم
2,الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين
2,الله عليك يا شيخ تحفه
2,الله غلى المسلمين فى توادهم وتراحمهم
2,الله لا يحرم حدا من العائله الدافيه والذريه الصالحه
1,الله لا يخلف عليهم لا يكثر خيرهم فعلن شعب مسكين عبد الله النسور بطل رفع الاسعار
1,الله لا يرفعه من مكانه اللي برفع الاسعار
1,الله لا يشبعكو يا حراميه
1,الله لا يشبعكو يا ظلمه انشاء الله كلو بتلقو بالاخره يا ظلمه خافوالله طبعا اذا بتعرفوالله
1,الله لا يعطي العافيه ولا الصحه للاخوان المفلسين
2,الله لا يوفقكم محد يخاف علي من البرد
2,الله ما يحرمنا من كلماتك الحلوه يا شيخنا
1,الله وكيلك مشحطط اهل دابوق دير غبار عبدون منعم على الفقراء
2,الله يا ريت كنا في ذاك الزمن
2,الله ياريت يبقى فى اخلاق كده فى الوقت ده
2,الله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتؤثرين فيك وهي اللي عرفتني عليك
2,الله يبارك لنا فى ايامنا
2,الله يتقبل صلاتنا
2,الله يتمم افراح الجميع يا رب
2,الله يثبت قلبك على ديننا الاسلام
2,الله يثبتك ينور طريقنا
2,الله يثبته يا رب ويثبتنا نحن كمان
1,الله يجعل ابوك وامك من اهل النار اذا بتعيد هالحركه مره ثانيه
2,الله يحمي البلد من كل مخرب والله يعطيكي العافيه رجال الامن العين السهره على حمايه البلد من اصحاب النفس المريضه انتم النشامى
1,الله يخزيك
1,الله يخزيكم عند امن الوطن مافي سلطي ولا كركي ولا طفيلي الاردن فوق الجميع قالوا بنحبك يا وطن رد عليهم الوطن بغصه حبوا بعضكم اول
1,"الله يخلف علينا بس ، يقال لا فقر اكثر من الجهل ولا غنى افضل من العقل !!"
2,الله يرحم هلبلاد من الحراميه والمتسلقين على قوت الشعب لك الله ياشعبنا
2,الله يرحمنا برحمته
2,الله يرزقها كل مشتهي يا رب
1,الله يرفعهم الى جهنم جنب القذافي باسرع وقت لان الظلم زاد عن حده
2,الله يزيدك من العلم ما تنتفع به الامه
1,الله يسامحك حبيبتي افهمتيني غلط
2,الله يستر على بنات المسلمين جميعا
2,الله يسعد كل البشر امين يا رب
2,الله يسعدك يبعد عنك كل شر
2,الله يشافيك يعافيك من كل داء وهامه اخي سيد الوكيل
2,الله يصبحك برضاه
2,الله يعطيك الصحه العافيه
2,الله يفرح الكل ويجمع بين المتحابين على خير
1,الله يفضح امكم فضحتونا شو هالسخافه
2,الله يكتر من امثالك يارب
2,الله يكثر الافراح
1,الله يكون في عون الفقير الطبقه المتوسط سوف تنحدر اكثر اكثر
1,الله يلعن الي علمكم التطور يا متخلفين يا رجعيين
1,الله يلعن ام هيك نمر
1,الله يلعن امك وش ها القرف
1,الله يلعنك
1,الله يلعنكم يا اولاد الحرام الفن له اهله وناسه لا يحتاج لا مسابقه ولا زبي تفو
1,الله ينتقم منه حمزه منصور واعوانه حسبنا الله فيهم
1,الله ينتقم منهم اجمعين اللي في بالي
2,الله يهدي التائهين والضالين الى طريقه
2,الله يهدي الجميع للاسلام
2,الله يهدي النفوس ربي ابعث لنا في هذا اليوم فرح يغير ايامنا وينعش قلوبنا من جديد
1,الله يوخذكم
2,الله يوفقكم والله يجعلكم تفوزون كلكم معنا قولوا  امين 
2,اللهم ابعد عنى شهوات الدنيا وقربنى منك واغفر لى ولكل المومنين
2,اللهم اتم علينا مكارم الاخلاق
2,اللهم اجعل سريرتي خير من على نيتي اجعل على نيتي صالحه
2,اللهم اجعل لنا ايمانا صادقا قلبا خاشعا علما نافعا
2,اللهم اجعلنا دائما مسلمين صادقين في افكارنا في اعمالنا
2,اللهم اجعلنا ممن تنظر اليهم بحب اشتياق اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك احفظنا قنا نار وقودها الناس الحجاره يا رب
2,اللهم اجعلنا ممن ياخذون بالاسباب
2,اللهم اجعلنا ممن يعطي الامانه حقه
2,اللهم اجعلنا من اللذين يصلحون فى الارض ولا يفسدون
2,اللهم اجعلنا من يتمتعون بروح و ريحان و جنه النعيم من الرحمن صباحكم قطرات من ندى الازهار
2,اللهم اجعلنا منهم وارزقنا الطاقه ولاراده لزللك ياربى
2,اللهم اجعلنى خيرا مما يظنون اغفر لي ما لا يعلمون
2,اللهم اجعلني مقيم الصلاه من ذريتي
2,اللهم اجعلني من يتشرف به الاسلام
2,اللهم احسن خواتيم اعمالنا اجعل كل اوقاتنا طاعه
2,اللهم احفظني بحفظك حسبي الله لا قوه الا بك
2,اللهم احينا وامتنا على الاسلام وعلى كلمه لا اله الا الله
2,اللهم اذقنا حبا رائعا حلالا طاهر
2,اللهم ارزق ابناء المسلمين زوجات صالحات وبنات المسلمين ازواج صالحين
2,اللهم ارزقنا الاخلاص في القول العمل في السر العلن في الرخاء الشده في العافيه المرض عند الابتلاء
2,اللهم ارزقنا السلامه العافيه في ديننا دنيانا
2,اللهم ارزقنا الصحبه الصالحه
2,اللهم ارزقنا الصدق الاخلاص
2,اللهم ارزقنا الصدق في طلب الاخلاص والاخلاص في طلب الصدق واجمع لنا بينهما بعفوك وقدرتك يا الله
2,اللهم ارزقنا العمل الصالح الذريه الصالحه ارزقنا يا الله حسن الخاتمه
2,اللهم ارزقنا ان نكون مثلهم
2,اللهم ارزقنا رزقا حلالا تغننا به عن حرامك
2,اللهم ارزقنا فعل الخيرات وترك المنكرات
2,اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي يهدينا اياكي
2,اللهم ارزقنا من خيري الدنيا الاخره ارزقنا حسن الخاتمه ارزقنا الفردوس الاعلى مع من نحب ارزقنا لذه النظر الى وجهك الكريم
2,اللهم ارزقنا واياك الجنه
2,اللهم ارزقني حبك حب من احبك حب عمل يقربني لحبك
2,اللهم ارزقني كما ترزق البغاث
2,اللهم ارضنا بما قسمته لنا
2,اللهم ارضنا و ارضى علينا
2,اللهم ارنا الحق حقا ارزقنا اتباعه ارنا الباطل باطلا ارزقنا اجتنابه
1,اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب
2,اللهم استخدمنا في طاعتك
2,اللهم استرنا وجميع بنات المسلمين
2,اللهم اسمعنا خير هذا اليوم و ما بعده و افتح لنا ابواب رزقك و رحمتك
2,اللهم اصلح حال المسلمين اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال
2,اللهم اصلح حالنا وشاننا كله واجمع لنا خير الامور
2,اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر لي زلاتي
2,اللهم اصلح نفوسنا لما يرضيك عنها
2,اللهم اعز المسلمين
2,اللهم اعصمنا عن معصيتك
2,اللهم اعنا ترك كل ما لا ترضي
2,اللهم اعنا على انفسنا اجعلنا نرى الدنيا صغيره الاخره كبير
2,اللهم اعنا على ذكرك وشكرك وحسن عبادتك
2,اللهم اعنى على ترك المعاصى حبا فى نور وجهك
2,اللهم اعني على ذكرك شكرك حسن عبادتك
2,اللهم اغفر لنا انا كنا ظالمين ادخلنا الجنه سالمين
2,اللهم اغفر له وسع لك رحمتك له اصلح له ذريته
2,اللهم اغفر لى لامه المسلمين اجمعين
2,اللهم اغفر لي ما لا يعلمون اجعلني خيرا مما يظنون
2,اللهم اغننا بحلالك عن حرامك اغننا بفضلك عمن سواك
2,اللهم اكثر من امثالك يا دكتور عمروالله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس
2,اللهم اكرمنا برضاك
2,اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب
2,اللهم القلوب الضاله
2,اللهم امليء قلبي بحبك
